name,county,acres,start_date,contained_date,notes,year
Crown,Los Angeles,"13,918",2010-07-29,2010-08-03,10 structures destroyed,2010
Bar,Plumas,"1,040",2010-07-31,2010-08-10,,2010
Pozo,San Luis Obispo,"1,200",2010-08-21,2010-08-22,,2010
Post,Kern,"1,312",2010-08-25,2010-08-28,,2010
Bullard,Yuba,"1,307",2010-08-27,2010-08-31,,2010
Bullards,Nevada,"1,500",2010-08-27,2010-09-13,,2010
Canyon,Kern,"9,820",2010-09-12,2010-09-19,1 structure destroyed,2010
Cove,Kern,"1,122",2011-05-27,2011-05-31,,2011
Cougar,Modoc,"2,000",2011-06-08,2011-06-13,,2011
Antelope,Kern,"5,200",2011-06-19,2011-06-21,2 structures destroyed,2011
Quinn,Kern,"3,154",2011-06-21,2011-06-22,,2011
Stage,Tulare,"1,213",2011-06-27,2011-07-02,,2011
Lion,Tulare,"20,500",2011-07-08,2011-10-10,,2011
Scorpion Complex,Modoc,"2,945",2011-07-15,2011-07-18,,2011
Eagle,San Diego,"14,100",2011-07-21,2011-07-29,,2011
Annie,Modoc,"2,076",2011-08-18,2011-08-21,,2011
Motor,Mariposa,"5,231",2011-08-25,2011-09-04,,2011
Wells,San Bernardino,"1,723",2011-08-28,2011-08-31,,2011
Hill,San Bernardino,"1,135",2011-09-02,2011-09-02,3 structures destroyed,2011
Soda,San Luis Obispo,"1,528",2011-09-03,2011-09-04,1 structures destroyed,2011
Canyon,Kern,"14,585",2011-09-04,2011-09-11,100 structures destroyed,2011
Milton,San Joaquin,"1,122",2011-09-09,2011-09-11,,2011
Keene Complex,Kern,"2,577",2011-09-10,2011-09-14,,2011
Comanche Complex,Kern,"29,338",2011-09-10,2011-09-14,Originated as 4 separate fires.[4],2011
Breckenridge Complex,Kern,"25,213",2011-09-10,2011-09-17,,2011
John,Inyo,"5,300",2011-09-13,2011-09-16,,2011
Tamarack,Mariposa,"1,011",2011-09-13,2011-10-17,,2011
65 Fire,Kern,"2,005",2011-09-23,2011-09-23,,2011
Ruth,Trinity,"1,460",2011-09-23,2011-09-28,31 structures destroyed,2011
Buckeye,Mono,"1,140",2011-09-25,2011-09-27,,2011
Great,San Diego,"2,135",2011-10-01,2011-10-07,,2011
Banner,San Diego,"5,320",2012-05-24,2012-05-29,,2012
George,Tulare,"1,707",2012-06-01,2012-06-15,,2012
Gaines,Mariposa,"1,700",2012-06-12,2012-06-14,,2012
Highland,Riverside,"2,171",2012-06-16,2012-06-18,,2012
Cascade,Mariposa,"1,705",2012-06-16,2012-11-26,,2012
Dale,Shasta,"1,083",2012-07-05,2012-07-07,2 structures destroyed,2012
Fish,Inyo,"1,103",2012-07-07,2012-07-09,,2012
Mill,Colusa,"29,502",2012-07-07,2012-07-18,5 structures destroyed,2012
Grapevine,Colusa,"1,870",2012-07-08,2012-07-12,,2012
Rail,Colusa,"1,870",2012-07-09,2012-07-12,,2012
Turkey,Monterey,"2,529",2012-07-09,2012-07-20,,2012
Robbers,Placer,"2,650",2012-07-11,2012-07-21,8 structures destroyed,2012
Flat,Trinity,"1,688",2012-07-11,2012-07-17,,2012
Sand,Kern,"1,428",2012-07-14,,1 structure destroyed,2012
Spanish,Lassen,"1,169",2012-07-18,2012-07-21,,2012
Reading,Shasta,"28,079",2012-07-23,2012-08-21,,2012
Chips,Plumas,"75,217",2012-07-29,2012-08-31,9 structures destroyed,2012
Rushmore,Riverside,"1,000",2012-08-04,2012-08-04,,2012
Piute Comlex,Kern,"1,783",2012-08-04,2012-08-11,,2012
Lake Complex,Modoc,"1,668",2012-08-05,2012-08-09,,2012
Fort Complex,Siskiyou,"23,653",2012-08-05,2012-09-10,,2012
Barry Point,Modoc,"38,394",2012-08-06,2012-08-28,3 structures destroyed,2012
Indian,Mono,"12,574",2012-08-08,2012-08-15,,2012
Chihuahua,San Diego,"2,006",2012-08-09,2012-08-12,,2012
Jawbone Complex,Kern,"1,218",2012-08-10,2012-08-22,19 structures destroyed,2012
Ramsey,Calaveras,"1,137",2012-08-11,2012-08-31,,2012
Wye,Lake,"2,934",2012-08-12,2012-08-18,3 structures destroyed,2012
Walker,Lake,"5,000",2012-08-12,2012-08-14,,2012
Rush,Lassen,"271,911",2012-08-12,2012-08-31,,2012
Vallecito Lightning Complex,San Diego,"22,829",2012-08-13,2012-08-20,,2012
Mill,Tehama,"1,641",2012-08-13,2012-08-23,,2012
Buck,Riverside,"2,681",2012-08-14,2012-08-18,4 structures destroyed,2012
Nelson,Modoc,"3,661",2012-08-17,2012-08-21,,2012
Ponderosa,Tehama,"27,676",2012-08-18,2012-09-02,133 structures destroyed,2012
Bagley Complex,Shasta,"1,000",2012-08-18,2012-08-22,,2012
North Pass,Mendocino,"41,983",2012-08-18,2012-09-16,26 structures destroyed,2012
Bagley,Shasta,"46,011",2012-08-18,2012-09-15,,2012
Williams,Los Angeles,"4,192",2012-09-02,2012-09-11,,2012
Sixteen Complex,Colusa,"19,000",2012-09-04,2012-09-11,,2012
Stafford,Trinity,"4,407",2012-09-05,2012-09-13,,2012
Likely,Lassen,"9,838",2012-09-05,2012-09-14,,2012
Scotts,Lake,"4,517",2012-09-07,2012-09-14,,2012
Shockey,San Diego,"2,555",2012-09-23,2012-09-27,39 structures destroyed,2012
