name,start_date,county,acres,containment,year
Madison FIre,6/1/2018,Yolo,14,100%,2018
Grant Fire,5/30/2018,Alameda,484,100%,2018
Vineyard Fire,5/29/2018,San Luis Obispo,25,100%,2018
Stuhr Fire,5/29/2018,Stanislaus,63,100%,2018
Chrome Fire,5/28/2018,Glenn,75,100%,2018
70th Fire,5/28/2018,Riverside,10,100%,2018
Keeler Fire,5/27/2018,Santa Clara,16,100%,2018
Cobble Fire,5/26/2018,Fresno,108,100%,2018
Water Fire,5/24/2018,San Luis Obispo,100,100%,2018
Experimental Fire,5/23/2018,Madera,56,100%,2018
Agua Fire,5/22/2018,San Diego,59,100%,2018
Bellagio Fire,5/21/2018,Napa,12,100%,2018
Plaza Fire,5/20/2018,Merced,88,100%,2018
Ager Fire,5/19/2018,Siskiyou,27,100%,2018
Jelly Fire,5/18/2018,Tehama,103,100%,2018
White Fire,5/18/2018,Tulare,26,100%,2018
Patterson Fire,5/17/2018,Riverside,"1,261",100%,2018
Happy Fire,5/17/2018,Santa Barbara,60,100%,2018
Twisselman Fire,5/16/2018,Kern,293,100%,2018
Grant Fire,5/14/2018,Alameda,12,100%,2018
Volcan Fire,5/10/2018,San Diego,12,100%,2018
Jacques Fire,5/9/2018,San Diego,18,100%,2018
Shastina Fire,5/9/2018,Siskiyou,127,100%,2018
Woodchuck Fire,5/4/2018,Riverside,15,100%,2018
Tornado Fire,5/4/2018,Riverside,70,100%,2018
Alpha Fire,5/4/2018,San Diego,300,100%,2018
Nees Fire,5/2/2018,Merced,"1,756",100%,2018
Main Fire,4/28/2018,Riverside,73,100%,2018
French Fire,4/26/2018,Plumas,20,100%,2018
Grape Fire,4/24/2018,Humboldt,,100%,2018
Lago Fire,4/22/2018,Riverside,18,100%,2018
Moffat Fire,4/19/2018,Inyo,"1,265",100%,2018
Tyler Fire,4/14/2018,Riverside,15,100%,2018
Aqueduct Fire,4/12/2018,Fresno,30,100%,2018
Meadow Fire,4/9/2018,Riverside,21,100%,2018
Rock Fire,3/27/2018,Shasta,11,100%,2018
Santa Cruz Fire,3/27/2018,Santa Barbara,258,100%,2018
Pleasant Fire,2/18/2018,Inyo,"2,070",100%,2018
Wilcox Fire,2/18/2018,Tulare,33,100%,2018
Haycamp Fire,2/7/2018,Monterey,50,100%,2018
Montecito Flooding / Mudflows,1/8/2018,Santa Barbara and Ventura,,100%,2018
Bridge Fire,12/31/1969,Marin,45,100%,2018
Cave Fire (No Longer a CAL FIRE Incident),11/25/2019,Santa Barbara,"3,126",100%,2019
Foothills Fire,11/25/2019,Placer,355,100%,2019
Cashe Fire,11/25/2019,Yolo,,,2019
Eagle Fire,11/4/2019,Lake,75,100%,2019
Ranch Fire,11/3/2019,Tehama,"2,534",100%,2019
Sobrante Fire,11/1/2019,Riverside,19,100%,2019
Maria Fire,10/31/2019,Ventura,"9,999",100%,2019
Hillside Fire,10/30/2019,San Bernardino,200,100%,2019
Copper Fire,10/30/2019,San Diego,50,100%,2019
46 Fire,10/30/2019,Riverside,328,100%,2019
Hill Fire,10/30/2019,Riverside,494,100%,2019
Easy Fire,10/30/2019,Ventura,"1,806",100%,2019
Getty Fire,10/27/2019,Los Angeles,745,100%,2019
Forest Fire,10/27/2019,Contra Costa,50,100%,2019
Burris Fire,10/27/2019,Mendocino,703,100%,2019
Glencove Fire,10/27/2019,Solano,140,100%,2019
Sky Fire,10/27/2019,Contra Costa,150,100%,2019
Cypress Complex,10/27/2019,Contra Costa,200,100%,2019
Rawson Fire,10/26/2019,Tehama,605,100%,2019
Miller Fire,10/25/2019,San Diego,37,100%,2019
Sawday Fire,10/25/2019,San Diego,97,100%,2019
Mines Fire,10/24/2019,Alameda,35,100%,2019
Cabrillo Fire,10/24/2019,San Mateo,62,100%,2019
Tick Fire,10/24/2019,Los Angeles,"4,615",100%,2019
Nelson Fire,10/24/2019,Butte,80,100%,2019
Muir Fire,10/24/2019,Marin,67,100%,2019
Old Water Fire,10/23/2019,San Bernardino,145,100%,2019
Kincade Fire,10/23/2019,Sonoma,"77,758",100%,2019
Oak Fire,10/22/2019,San Diego,,,2019
Palisades Fire,10/21/2019,Los Angeles,42,100%,2019
Beaumont Fire,10/21/2019,San Bernardino,11,100%,2019
Mud Fire,10/18/2019,Fresno,137,100%,2019
Grove Fire,10/17/2019,Lake,25,100%,2019
Real Fire,10/17/2019,Santa Barbara,420,100%,2019
Fairmont Fire,10/15/2019,San Diego,10,100%,2019
Nustar Fire,10/15/2019,Contra Costa,15,100%,2019
Johnson Fire,10/14/2019,Riverside,75,100%,2019
Horse Fire,10/13/2019,Lassen,55,100%,2019
Olivas Fire,10/11/2019,Ventura,200,100%,2019
Caples Fire,10/11/2019,El Dorado,"3,435",100%,2019
Bitter Fire,10/11/2019,San Luis Obispo,30,100%,2019
Wendy Fire,10/10/2019,Ventura,91,100%,2019
Saddle Ridge Fire,10/10/2019,Los Angeles,"8,799",100%,2019
Wolf Fire,10/10/2019,Riverside,75,100%,2019
Plains Fire,10/10/2019,Shasta,42,100%,2019
Sandalwood Fire,10/10/2019,Riverside,"1,011",100%,2019
Reche Fire,10/10/2019,Riverside,350,100%,2019
Eagle Fire,10/10/2019,Riverside,9,100%,2019
Merrill Fire,10/9/2019,Contra Costa,40,100%,2019
Inghram Fire,10/9/2019,Tehama,10,100%,2019
Corning Fire,10/9/2019,Tehama,68,100%,2019
Cross Fire,10/8/2019,Monterey and San Luis Obispo,289,100%,2019
Little Fire,10/8/2019,Alameda,12,100%,2019
Dales Fire,10/7/2019,Tehama,11,100%,2019
Point Fire,10/7/2019,Santa Clara,29,100%,2019
American Fire,10/6/2019,Napa,526,100%,2019
Briceburg Fire,10/6/2019,Mariposa,"5,563",100%,2019
Wilson Fire,10/4/2019,Mendocino,10,100%,2019
Elk Fire,10/4/2019,Glenn,63,100%,2019
Del Fire,10/3/2019,Stanislaus,18,100%,2019
Ranch Fire,10/1/2019,San Luis Obispo,52,100%,2019
Frame Fire,9/30/2019,Fresno,25,100%,2019
Warren Fire,9/30/2019,Riverside,19,100%,2019
Chaparral Fire,9/29/2019,El Dorado,22,100%,2019
Hwy Fire,9/28/2019,Butte,300,100%,2019
Mare Fire,9/26/2019,Solano,30,100%,2019
Willow Fire,9/25/2019,San Diego,52,100%,2019
Electra Fire,9/25/2019,Amador,10,100%,2019
Dehesa Fire,9/24/2019,San Diego,200,100%,2019
Cow Fire,9/24/2019,Shasta,16,100%,2019
Tulloch Fire,9/23/2019,Tuolumne,83,100%,2019
Lynette Fire,9/22/2019,Calaveras,67,100%,2019
Kennedy Fire,9/21/2019,Riverside,98,100%,2019
Lopez Fire,9/21/2019,San Luis Obispo,220,100%,2019
Reservoir Fire,9/21/2019,Santa Clara,128,100%,2019
Baseline Fire,9/20/2019,Placer,604,100%,2019
Bautista Fire,9/15/2019,Riverside,167,100%,2019
Bar Fire,9/15/2019,Siskiyou,91,100%,2019
Horseshoe Fire,9/14/2019,Riverside,520,100%,2019
Bridge Fire,9/13/2019,Stanislaus,11,100%,2019
Redwood Fire,9/12/2019,Riverside,34,100%,2019
Stuhr Fire,9/11/2019,Stanislaus,190,100%,2019
Bailey Fire,9/10/2019,Riverside,10,100%,2019
McMurray Fire,9/9/2019,Santa Barbara,200,100%,2019
Sycamore Fire,9/7/2019,Riverside,250,100%,2019
Duzel Fire,9/7/2019,Siskiyou,15,100%,2019
Swedes Fire,9/7/2019,Butte,496,100%,2019
Oak Fire,9/7/2019,Lake,53,100%,2019
Rams Horn Fire,9/7/2019,Trinity,280,100%,2019
Kidder 2 Fire,9/7/2019,Siskiyou,227,100%,2019
Lime Fire,9/7/2019,Siskiyou,"1,872",100%,2019
Forbestown Fire,9/6/2019,Butte,58,100%,2019
R-6 Fire,9/6/2019,Lassen,260,100%,2019
Taboose Fire,9/6/2019,Inyo,"10,296",100%,2019
Broder Fire,9/6/2019,Tulare,381,100%,2019
Cow Fire,9/6/2019,Inyo,"1,975",100%,2019
Lone Fire,9/6/2019,Modoc,"5,737",100%,2019
Springs Fire,9/6/2019,Mono,"4,840",100%,2019
South Fire,9/5/2019,Tehama,"5,332",100%,2019
Flood Fire,9/5/2019,San Joaquin,44,100%,2019
Red Bank Fire,9/5/2019,Tehama,"8,838",100%,2019
Henthorne Fire,9/5/2019,Trinity,244,100%,2019
Foster Fire,9/4/2019,San Benito,17,100%,2019
Tenaja,9/4/2019,Riverside,"1,926",100%,2019
Glass Fire,9/4/2019,Lake,28,100%,2019
Walker Fire,9/4/2019,Plumas,"54,612",100%,2019
Deer Fire,9/3/2019,Santa Cruz,10,100%,2019
Country Fire,9/3/2019,El Dorado,85,100%,2019
Telephone Fire,9/2/2019,San Bernardino,15,100%,2019
Antelope Fire,9/2/2019,San Benito,167,100%,2019
Mines Fire,9/2/2019,Alameda,11,100%,2019
Snail Fire,9/1/2019,Ventura,279,100%,2019
Jolon Fire,9/1/2019,Monterey,66,100%,2019
Creek Fire,8/31/2019,Tulare,756,100%,2019
Carroll Fire,8/31/2019,Alameda,19,100%,2019
R-1 Fire,8/28/2019,Lassen,"3,380",100%,2019
Sage Fire,8/27/2019,Riverside,12,100%,2019
Border 10 Fire,8/25/2019,Mexico and San Diego,25,100%,2019
Jamieson Fire,8/25/2019,Santa Clara,35,100%,2019
Ivy Fire,8/25/2019,Riverside,80,100%,2019
Long Valley Fire,8/24/2019,Lassen,"2,438",100%,2019
Horse Fire,8/24/2019,Lassen,131,100%,2019
Yucca Fire,8/22/2019,Riverside,34,100%,2019
Mountain Fire,8/22/2019,Shasta,600,100%,2019
Patterson Fire,8/21/2019,Alameda,139,100%,2019
Gaines Fire,8/16/2019,Mariposa,"1,300",100%,2019
Border 8 Fire,8/15/2019,Mexico,"1,507",100%,2019
Patterson Fire,8/15/2019,El Dorado,35,100%,2019
Border 9 Fire,8/15/2019,San Diego,80,100%,2019
Hunter Fire,8/15/2019,Mariposa,423,100%,2019
Cottage Fire,8/15/2019,Shasta,156,100%,2019
Bayliss Fire,8/15/2019,Santa Clara,60,100%,2019
Greenstone Fire,8/14/2019,El Dorado,16,100%,2019
Spring Fire,8/14/2019,Colusa,20,100%,2019
Timm Fire,8/13/2019,Solano,81,100%,2019
West Fire,8/13/2019,Los Angeles,105,100%,2019
Moose Fire,8/12/2019,Mendocino,225,100%,2019
Lower Fire,8/12/2019,Shasta,46,100%,2019
Radio Fire,8/12/2019,Riverside,20,100%,2019
Heavy Range Fire,8/10/2019,Yolo,33,100%,2019
Ward Fire,8/9/2019,State of Oregon,"1,301",100%,2019
Harte Fire,8/9/2019,Alameda,240,100%,2019
W1 McDonald Fire,8/8/2019,Lassen,"1,020",100%,2019
Preston Fire,8/8/2019,Tuolumne,21,100%,2019
Golf Fire,8/8/2019,Lake,20,100%,2019
3-2 Willow (Previously H-1 Fire),8/7/2019,Lassen,107,100%,2019
R-1 Fire,8/7/2019,Lassen,130,100%,2019
Sellers Fire,8/7/2019,Contra Costa,58,100%,2019
Toro Fire,8/5/2019,Riverside,94,100%,2019
Caliente Fire,8/5/2019,Kern,29,100%,2019
Gilbert Fire,8/4/2019,Shasta,30,100%,2019
La Barisa Fire,8/3/2019,San Bernardino,26,100%,2019
Five Fire,8/3/2019,Los Angeles,156,100%,2019
Marsh Complex,8/2/2019,Contra Costa,757,100%,2019
Meadow Fire (Not a CAL FIRE incident),8/2/2019,Modoc,103,100%,2019
Prairie Fire,8/2/2019,Sacramento,50,100%,2019
Browns Fire,8/2/2019,Sacramento,84,100%,2019
Caliente Fire,8/1/2019,San Diego,448,100%,2019
Mesa Fire,7/31/2019,Kern,448,100%,2019
Carson Fire,7/30/2019,El Dorado,13,100%,2019
Mill Fire,7/30/2019,Monterey,280,100%,2019
Lake Fire,7/29/2019,Monterey,316,100%,2019
Range Fire,7/28/2019,Santa Barbara,100,100%,2019
Dehesa Fire,7/28/2019,San Diego,150,100%,2019
Tucker Fire,7/28/2019,Modoc,"14,217",100%,2019
Star Fire,7/28/2019,San Bernardino,156,100%,2019
Usal Fire,7/27/2019,Mendocino,130,100%,2019
Tree Fire,7/27/2019,Siskiyou,83,100%,2019
Community Fire,7/27/2019,Siskiyou,35,100%,2019
Thompson Fire,7/24/2019,San Luis Obispo,95,100%,2019
Sweigert Fire,7/24/2019,Santa Clara,80,100%,2019
Marshview Fire,7/24/2019,Solano,183,100%,2019
Moms Fire,7/23/2019,Butte,10,100%,2019
Milpas Fire,7/22/2019,San Bernardino,81,100%,2019
Canyon Fire,7/22/2019,Napa,64,100%,2019
Tejon Fire,7/21/2019,Kern,208,100%,2019
Valley Fire,7/21/2019,Mariposa,149,100%,2019
Whiskey Fire,7/18/2019,Calaveras,27,100%,2019
Rains Fire,7/18/2019,Stanislaus,35,100%,2019
Vista Fire,7/17/2019,San Diego,25,100%,2019
Goose 2 Fire,7/17/2019,Modoc,128,100%,2019
Whiskey Fire,7/16/2019,San Joaquin,90,100%,2019
Meadow Fire,7/16/2019,Riverside,81,100%,2019
Madera Fire,7/15/2019,Madera,213,100%,2019
Aborn Fire,7/15/2019,Santa Clara,47,100%,2019
Milton Fire,7/15/2019,Stanislaus,202,100%,2019
Doyle Fire,7/14/2019,Lassen,193,100%,2019
South Fire,7/14/2019,Ventura,131,100%,2019
Jasper Fire,7/13/2019,State of Nevada,"1,165",100%,2019
Orange fire,7/13/2019,Riverside,96,100%,2019
Horse Fire,7/12/2019,Shasta,30,100%,2019
Mid Fire,7/12/2019,Alameda,22,100%,2019
Lincoln Fire,7/12/2019,Riverside,80,100%,2019
Border Fire,7/12/2019,San Diego,100,100%,2019
Gibbel Fire,7/11/2019,Riverside,20,100%,2019
Sargent Fire,7/9/2019,Monterey,190,100%,2019
Gillis Fire,7/8/2019,San Luis Obispo,974,100%,2019
Lake Fire,7/8/2019,Mariposa,244,100%,2019
Far Fire,7/6/2019,Yuba,38,100%,2019
Snowstorm Fire,7/5/2019,Lassen,263,100%,2019
Ranch Fire,7/5/2019,Shasta,30,100%,2019
Fellow Fire,7/5/2019,Contra Costa,24,100%,2019
Bikeway Fire,7/5/2019,Alameda,25,100%,2019
Hollow Fire,7/3/2019,San Joaquin,283,100%,2019
Coyote Fire,7/2/2019,Santa Clara,74,100%,2019
Mayberry Fire,6/29/2019,Butte,12,100%,2019
Merced Fire,6/29/2019,Merced,210,100%,2019
Wolf Fire,6/29/2019,Riverside,214,100%,2019
Otay Fire,6/29/2019,San Diego,28,100%,2019
Long Fire,6/28/2019,Nevada,2,100%,2019
Nuevo Fire,6/27/2019,Riverside,20,100%,2019
Dyer Fire,6/26/2019,Placer,148,100%,2019
Mines Fire,6/26/2019,Santa Clara,17,100%,2019
Trinity Fire,6/26/2019,Shasta,90,100%,2019
Lonoak Fire,6/26/2019,Monterey,"2,546",100%,2019
Rock Fire,6/26/2019,Stanislaus,"2,422",100%,2019
Scott Fire,6/25/2019,Yuba,80,100%,2019
Scott Fire,6/24/2019,Yuba,80,100%,2019
Paskenta Fire,6/21/2019,Tehama,46,100%,2019
Mountain Fire,6/21/2019,Alameda,30,100%,2019
Jerry Fire,6/21/2019,Riverside,525,100%,2019
Weisgarber Fire,6/20/2019,San Diego,120,100%,2019
Lumgrey Fire,6/17/2019,Siskiyou,207,100%,2019
IronGate Fire,6/16/2019,Siskiyou,10,100%,2019
32 Fire,6/15/2019,Butte,17,100%,2019
Rocky Fire,6/14/2019,Siskiyou,17,100%,2019
Ardo Fire,6/12/2019,Monterey,43,100%,2019
McMillan Fire,6/12/2019,San Luis Obispo,"1,764",100%,2019
Springs Fire,6/10/2019,Tulare,47,100%,2019
Calaveras Fire,6/10/2019,Santa Clara,35,100%,2019
Pauma Fire,6/10/2019,San Diego,15,100%,2019
Bitter Fire,6/10/2019,San Luis Obispo,120,100%,2019
Malech Fire,6/9/2019,Santa Clara,210,100%,2019
Sand Fire,6/8/2019,Yolo,"2,512",100%,2019
West Butte Fire,6/8/2019,Sutter,"1,350",100%,2019
Ink Fire,6/8/2019,Napa,50,100%,2019
Levee Fire,6/8/2019,Yuba,70,100%,2019
Stuhr Fire,6/7/2019,Stanislaus,600,100%,2019
Watt Fire,6/7/2019,Placer,27,100%,2019
Nelson Fire,6/7/2019,Solano,24,100%,2019
Willow Fire,6/6/2019,Contra Costa,23,100%,2019
Boulder Fire,6/5/2019,San Luis Obispo,"1,127",100%,2019
Yokohl Fire,6/3/2019,Tulare,33,100%,2019
Bear Fire,6/3/2019,Tulare,25,100%,2019
Citrus Fire,6/2/2019,Tulare,257,100%,2019
Spruce Fire,6/1/2019,Tulare,155,100%,2019
Canyon Fire,5/30/2019,Santa Clara,144,100%,2019
Diversion Fire,5/30/2019,Riverside,45,100%,2019
66 Fire,5/29/2019,Riverside,55,100%,2019
Hill Fire,5/29/2019,Fresno,121,100%,2019
Belmont Fire,5/29/2019,San Luis Obispo,835,100%,2019
Foothill Fire,5/20/2019,Riverside,26,100%,2019
Paskenta Fire,5/20/2019,Tehama,63,100%,2019
Shady Fire,5/18/2019,Riverside,130,100%,2019
Border Fire,5/13/2019,San Diego,22,100%,2019
Sugar Fire,5/10/2019,Placer,65,100%,2019
Refuge Fire,5/7/2019,Kern,"2,500",100%,2019
Vulcan Fire,5/3/2019,Kern,172,100%,2019
Meridian Fire,5/1/2019,Butte,50,100%,2019
Woody Fire,4/30/2019,Kern,115,100%,2019
Cana Fire,4/30/2019,Butte,10,100%,2019
York Fire,4/28/2019,Kings,161,100%,2019
Girasol Fire,4/9/2019,Riverside,30,100%,2019
Pilot Fire,1/1/2019,Humboldt,30,100%,2019
Bullfrog Fire,9/12/2020,Fresno,,,2020
Shackleford Fire,9/11/2020,Siskiyou,50,10%,2020
Schoolhouse Fire,9/9/2020,Siskiyou,45,60%,2020
Willow Fire,9/8/2020,Yuba,"1,311",40%,2020
Sperry Fire,9/8/2020,Stanislaus,45,,2020
Fork Fire,9/8/2020,El Dorado,,,2020
Slater Fire (includes Devil Fire),9/7/2020,Siskiyou,,,2020
Oak Fire,9/7/2020,Mendocino,"1,100",50%,2020
Bobcat Fire,9/6/2020,Los Angeles,"29,245",6%,2020
Valley Fire,9/5/2020,San Diego,"17,665",69%,2020
El Dorado Fire,9/5/2020,San Bernardino and Riverside,"14,043",39%,2020
Creek Fire,9/4/2020,Fresno and Madera,"196,667",6%,2020
Rattlesnake Fire,9/3/2020,Tulare,,,2020
Catholic Fire,9/1/2020,Lake,13,100%,2020
Slink Fire,9/1/2020,Mono,,,2020
Hobo Fire,9/1/2020,Trinity,,,2020
Hensley Fire,8/30/2020,Madera,688,100%,2020
Johnson Fire,8/28/2020,Los Angeles,290,100%,2020
Perry Fire,8/26/2020,Placer,9,100%,2020
R-8 Pinecone Fire,8/26/2020,Lassen,,,2020
Placer Fire,8/25/2020,San Luis Obispo,53,100%,2020
W-5 Cold Springs,8/23/2020,Lassen,,,2020
Hull Fire,8/23/2020,Mendocino,,,2020
Sheep Fire,8/22/2020,Plumas,"29,570",95%,2020
Moraine Fire,8/21/2020,Tulare,,,2020
SQF Complex Fire (Includes Castle Fire and Shotgun Fire),8/21/2020,Tulare,,,2020
Coyote Fire,8/21/2020,Santa Clara,143,100%,2020
Volcano Fire,8/20/2020,San Diego,45,100%,2020
Moc Fire,8/20/2020,Tuolumne,"2,857",100%,2020
Flint Fire,8/19/2020,Calaveras,55,100%,2020
Dolan Fire,8/19/2020,Monterey,,,2020
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone),8/19/2020,Tehama and Glenn,"19,609",95%,2020
North Complex Fire,8/18/2020,"Plumas, Butte and Yuba","252,313",21%,2020
Creek Fire,8/18/2020,Mendocino,820,100%,2020
Salt Fire,8/18/2020,Calaveras,"1,789",100%,2020
3-19 Fire,8/18/2020,Mendocino,62,100%,2020
Woodward Fire,8/18/2020,Marin,,,2020
Carmel Fire,8/18/2020,Monterey,"6,905",100%,2020
Bell Fire,8/18/2020,Tuolumne,,,2020
Blue Jay Fire,8/18/2020,Mariposa,,,2020
SHF Elkhorn Lightning Fires 2020,8/18/2020,"Trinity, Tehama and Humboldt",,,2020
Red Salmon Complex,8/18/2020,Humboldt,,,2020
SCU Lightning Complex,8/18/2020,"Santa Clara, Alameda, Contra Costa, San Joaquin and Stanislaus","396,624",98%,2020
Murphy Fire,8/17/2020,El Dorado,14,100%,2020
Holser Fire,8/17/2020,Ventura,"3,000",100%,2020
4-8 Fire,8/17/2020,Glenn,275,100%,2020
Beach Fire,8/17/2020,Mono,,,2020
Jones Fire,8/16/2020,Nevada,705,100%,2020
"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16, Walbridge)",8/16/2020,"Napa, Sonoma, Lake, Yolo and Solano","363,220",95%,2020
August Complex (includes Doe Fire),8/16/2020,Mendocino and Humboldt,"846,812",25%,2020
River Fire,8/16/2020,Monterey,"48,088",100%,2020
CZU Lightning Complex (Including Warnella Fire),8/16/2020,Santa Cruz and San Mateo,"86,509",86%,2020
Elk Fire,8/16/2020,Glenn,727,100%,2020
3-2 Fire,8/16/2020,San Luis Obispo,20,100%,2020
Hills Fire,8/15/2020,Fresno,"2,121",100%,2020
Whale Fire,8/15/2020,San Luis Obispo,312,100%,2020
Loyalton Fire,8/14/2020,Sierra,"47,029",100%,2020
Clark Fire,8/14/2020,Butte,110,100%,2020
Feather Fire,8/13/2020,Sierra,,,2020
Meiss Fire,8/13/2020,Sacramento,512,100%,2020
Ranch 2 Fire,8/13/2020,Los Angeles,"4,237",100%,2020
Lake Fire,8/12/2020,Los Angeles,"31,089",96%,2020
Carrizo Fire,8/12/2020,San Luis Obispo,183,100%,2020
Soda Fire,8/12/2020,Kern,424,100%,2020
R-1 Fire,8/11/2020,Lassen,285,100%,2020
Duluth Fire,8/10/2020,Placer,65,100%,2020
Mina Fire,8/10/2020,Mendocino,177,100%,2020
Texas Fire,8/6/2020,Los Angeles,,,2020
Fort Fire,8/6/2020,Kern,277,100%,2020
Pass Fire,8/4/2020,San Luis Obispo,280,100%,2020
Trimmer Fire,8/4/2020,Fresno,,,2020
166 Fire,8/3/2020,San Luis Obispo,,,2020
Stagecoach Fire,8/3/2020,Kern,"7,760",100%,2020
Elsmere Fire,8/3/2020,Los Angeles,200,100%,2020
Beale Fire,8/2/2020,Yuba,600,100%,2020
Post Fire,8/2/2020,Los Angeles,120,100%,2020
Sites Fire,8/2/2020,Colusa,560,100%,2020
North Fire,8/2/2020,Lassen,"6,882",100%,2020
Water Fire,8/2/2020,Riverside,52,100%,2020
Sophia Fire,8/2/2020,El Dorado,36,100%,2020
Pond Fire,8/1/2020,San Luis Obispo,"1,962",99%,2020
Castaic Fire,8/1/2020,Los Angeles,,,2020
Stump Fire,8/1/2020,Tehama,,,2020
Apple Fire,7/31/2020,Riverside,,,2020
Cowhead Fire,7/31/2020,Modoc,,,2020
Sheep Fire,7/30/2020,Kern,233,100%,2020
Dam Fire,7/30/2020,Los Angeles,,,2020
Rabbit Fire,7/30/2020,Riverside,104,100%,2020
Clay Fire,7/29/2020,Sacramento,730,100%,2020
Brook Fire,7/29/2020,San Bernardino,185,100%,2020
Branch Fire,7/28/2020,San Luis Obispo,"3,022",100%,2020
Border 11 Fire,7/28/2020,San Diego,100,100%,2020
Lincoln Fire,7/27/2020,Humboldt,25,100%,2020
Ridge Fire,7/27/2020,Los Angeles,321,100%,2020
Adams Fire,7/27/2020,Lassen,,,2020
Cottonwood Fire,7/27/2020,Merced,788,100%,2020
Ione Fire,7/26/2020,Sacramento,51,100%,2020
Karen Fire,7/25/2020,Riverside,250,100%,2020
Hill Fire,7/24/2020,Colusa,138,100%,2020
Jack Fire,7/24/2020,Riverside,145,100%,2020
July Complex,7/24/2020,Siskiyou and Modoc,,,2020
Iris Fire,7/21/2020,Mono,120,100%,2020
Rabbit Fire,7/20/2020,Madera,135,100%,2020
Easton Fire,7/20/2020,San Bernardino,71,100%,2020
Holland Fire,7/20/2020,Contra Costa,75,100%,2020
Feather Fire,7/20/2020,Butte,30,100%,2020
Milepost 21 Fire,7/20/2020,Humboldt,100,100%,2020
Gold Fire,7/20/2020,Lassen,"22,634",100%,2020
Platina Fire,7/19/2020,Shasta,340,100%,2020
Hog Fire,7/18/2020,Lassen,"9,564",100%,2020
Badger Fire,7/18/2020,Siskiyou,557,100%,2020
Pitzer Fire,7/17/2020,San Bernardino,119,100%,2020
Hollow Fire,7/16/2020,Alameda,253,100%,2020
Valley Fire,7/15/2020,Yuba,500,100%,2020
Ben Fire,7/15/2020,Mariposa,48,100%,2020
Coyote Fire,7/15/2020,San Benito,"1,508",100%,2020
Mineral Fire,7/13/2020,Fresno,"29,667",100%,2020
Casino Fire,7/13/2020,Riverside,91,100%,2020
Robinson Fire,7/13/2020,Butte,33,100%,2020
Elliot Fire,7/13/2020,Riverside,2,100%,2020
Power Fire,7/11/2020,Madera,108,100%,2020
Alum Fire,7/11/2020,Santa Clara,31,100%,2020
Tripp Fire,7/9/2020,Riverside,10,100%,2020
Nail Fire,7/7/2020,Colusa,25,100%,2020
Brandon Fire,7/7/2020,El Dorado,32,100%,2020
Mountain Meadow Fire,7/6/2020,Solano,75,100%,2020
Patterson Fire,7/6/2020,San Joaquin,150,100%,2020
California Fire,7/6/2020,Contra Costa,298,100%,2020
Soledad Fire,7/5/2020,Los Angeles,"1,525",100%,2020
Crews Fire,7/5/2020,Santa Clara,"5,513",100%,2020
Kings Fire,7/5/2020,Fresno,67,100%,2020
Cotton Fire,7/5/2020,Merced,100,100%,2020
Park Fire,7/5/2020,Santa Clara,343,100%,2020
Lake Fire,7/5/2020,San Luis Obispo,588,100%,2020
Sheridan Fire,7/4/2020,Alameda,108,100%,2020
Mount R Fire,7/3/2020,San Bernardino,62,100%,2020
Soda Fire,7/3/2020,San Luis Obispo,157,100%,2020
Bonadelle Fire,7/2/2020,Madera,597,100%,2020
Rowher Fire,7/1/2020,Los Angeles,648,100%,2020
Bena Fire,7/1/2020,Kern,"2,900",100%,2020
Flat Fire,6/30/2020,Trinity,62,100%,2020
Avacado Fire,6/30/2020,Butte,136,100%,2020
Muck Fire,6/29/2020,Lassen,12,100%,2020
Gage Fire,6/28/2020,San Luis Obispo,33,100%,2020
Pass Fire,6/28/2020,Merced,"2,192",100%,2020
Poeville Fire,6/27/2020,State of Nevada,"2,975",100%,2020
Indian Fire,6/26/2020,Riverside,59,100%,2020
Aurora Fire,6/26/2020,Mono,280,100%,2020
Bend Fire,6/25/2020,San Luis Obispo,263,100%,2020
Diablo Fire,6/24/2020,Stanislaus,202,100%,2020
58 Fire,6/24/2020,Riverside,12,100%,2020
R-3 Fire,6/24/2020,Lassen,210,100%,2020
R-2 Fire,6/23/2020,Lassen,563,100%,2020
Sycamore Fire,6/23/2020,Fresno,19,100%,2020
Rico Fire,6/22/2020,Monterey,338,100%,2020
River Fire,6/22/2020,San Luis Obispo,15,100%,2020
Grade Fire,6/22/2020,Tulare,"1,050",100%,2020
Stage Fire,6/21/2020,Monterey,52,100%,2020
Hunter Fire,6/21/2020,Monterey,195,100%,2020
Quarter Fire,6/21/2020,Tuolumne,10,100%,2020
East Fire,6/20/2020,Modoc,11,100%,2020
Honcut Fire,6/20/2020,Butte,89,100%,2020
Springs Fire,6/19/2020,Tulare,217,100%,2020
Teddy Fire,6/18/2020,Butte,13,100%,2020
Fork Fire,6/18/2020,Tulare,130,100%,2020
Nelson Fire,6/18/2020,Placer,110,100%,2020
Baker Fire,6/17/2020,Kern,165,100%,2020
Ridge Fire,6/17/2020,Monterey,83,100%,2020
Gyle Fire,6/17/2020,Tehama,68,100%,2020
Liberty Fire,6/17/2020,San Joaquin,89,100%,2020
Nelson Fire,6/17/2020,Butte,95,100%,2020
Walker Fire,6/16/2020,Calaveras,"1,455",100%,2020
